"","...1","state","office_type","question","answer","demographic_pct","answer_pct","lastName","year"
"45",45,"AL","President","Education","Associate's degree",17,29,"Biden",2020
"46",46,"AL","President","Education","Associate's degree",17,70,"Trump",2020
"47",47,"AL","President","Education","Bachelor's degree",23,40,"Biden",2020
"48",48,"AL","President","Education","Bachelor's degree",23,57,"Trump",2020
"49",49,"AL","President","Education","Advanced degree",14,52,"Biden",2020
"50",50,"AL","President","Education","Advanced degree",14,47,"Trump",2020
"51",51,"AL","President","Income","Less than $30,000",18,-1,"Biden",2020
"52",52,"AL","President","Income","Less than $30,000",18,-1,"Trump",2020
"53",53,"AL","President","Income","$30,000-$49,999",19,-1,"Biden",2020
"54",54,"AL","President","Income","$30,000-$49,999",19,-1,"Trump",2020
"55",55,"AL","President","Income","$50,000-$99,999",31,38,"Biden",2020
"56",56,"AL","President","Income","$50,000-$99,999",31,60,"Trump",2020
"57",57,"AL","President","Income","$100,000-$199,999",25,34,"Biden",2020
"58",58,"AL","President","Income","$100,000-$199,999",25,65,"Trump",2020
"59",59,"AL","President","Income","$200,000 or more",7,-1,"Biden",2020
"60",60,"AL","President","Income","$200,000 or more",7,-1,"Trump",2020
"61",61,"AL","Senate","Region","North",24,32,"Jones",2020
"62",62,"AL","Senate","Region","North",24,68,"Tuberville",2020
"63",63,"AL","Senate","Region","North Central",26,28,"Jones",2020
"64",64,"AL","Senate","Region","North Central",26,71,"Tuberville",2020
"65",65,"AL","Senate","Region","Birmingham/S. Central",28,60,"Jones",2020
"66",66,"AL","Senate","Region","Birmingham/S. Central",28,40,"Tuberville",2020
"67",67,"AL","Senate","Region","South",22,36,"Jones",2020
"68",68,"AL","Senate","Region","South",22,64,"Tuberville",2020
"69",69,"AL","Senate","Age","18-24",9,58,"Jones",2020
"70",70,"AL","Senate","Age","18-24",9,42,"Tuberville",2020
"71",71,"AL","Senate","Age","25-29",7,-1,"Jones",2020
"72",72,"AL","Senate","Age","25-29",7,-1,"Tuberville",2020
"73",73,"AL","Senate","Age","30-39",15,41,"Jones",2020
"74",74,"AL","Senate","Age","30-39",15,59,"Tuberville",2020
"75",75,"AL","Senate","Age","40-49",15,51,"Jones",2020
"76",76,"AL","Senate","Age","40-49",15,49,"Tuberville",2020
"77",77,"AL","Senate","Age","50-64",29,35,"Jones",2020
"78",78,"AL","Senate","Age","50-64",29,65,"Tuberville",2020
"79",79,"AL","Senate","Age","65 or older",25,25,"Jones",2020
"80",80,"AL","Senate","Age","65 or older",25,74,"Tuberville",2020
"81",81,"AL","Senate","Race","White",73,24,"Jones",2020
"82",82,"AL","Senate","Race","White",73,76,"Tuberville",2020
"83",83,"AL","Senate","Race","Black",22,90,"Jones",2020
"84",84,"AL","Senate","Race","Black",22,10,"Tuberville",2020
"85",85,"AL","Senate","Race","Latino",3,-1,"Jones",2020
"86",86,"AL","Senate","Race","Latino",3,-1,"Tuberville",2020
"87",87,"AL","Senate","Race","Asian",0,-1,"Jones",2020
"88",88,"AL","Senate","Race","Asian",0,-1,"Tuberville",2020
"89",89,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Jones",2020
"90",90,"AL","Senate","Race","Other racial/ethnic groups",1,-1,"Tuberville",2020
"91",91,"AL","Senate","Gender","Male",45,39,"Jones",2020
"92",92,"AL","Senate","Gender","Male",45,61,"Tuberville",2020
"93",93,"AL","Senate","Gender","Female",55,41,"Jones",2020
"94",94,"AL","Senate","Gender","Female",55,59,"Tuberville",2020
"95",95,"AL","Senate","Area type","Urban",25,63,"Jones",2020
"96",96,"AL","Senate","Area type","Urban",25,37,"Tuberville",2020
"97",97,"AL","Senate","Area type","Suburban",56,29,"Jones",2020
"98",98,"AL","Senate","Area type","Suburban",56,70,"Tuberville",2020
"99",99,"AL","Senate","Area type","Rural",20,40,"Jones",2020
"100",100,"AL","Senate","Area type","Rural",20,60,"Tuberville",2020
"101",101,"AL","Senate","Education","Never attended college",20,28,"Jones",2020
"102",102,"AL","Senate","Education","Never attended college",20,72,"Tuberville",2020
"103",103,"AL","Senate","Education","Some college",25,41,"Jones",2020
"104",104,"AL","Senate","Education","Some college",25,59,"Tuberville",2020
"105",105,"AL","Senate","Education","Associate's degree",18,32,"Jones",2020
"106",106,"AL","Senate","Education","Associate's degree",18,68,"Tuberville",2020
"107",107,"AL","Senate","Education","Bachelor's degree",23,43,"Jones",2020
"108",108,"AL","Senate","Education","Bachelor's degree",23,56,"Tuberville",2020
"109",109,"AL","Senate","Education","Advanced degree",14,57,"Jones",2020
"110",110,"AL","Senate","Education","Advanced degree",14,42,"Tuberville",2020
"111",111,"AL","Senate","Income","Less than $30,000",18,-1,"Jones",2020
"112",112,"AL","Senate","Income","Less than $30,000",18,-1,"Tuberville",2020
"113",113,"AL","Senate","Income","$30,000-$49,999",20,39,"Jones",2020
"114",114,"AL","Senate","Income","$30,000-$49,999",20,61,"Tuberville",2020
"115",115,"AL","Senate","Income","$50,000-$99,999",31,40,"Jones",2020
"116",116,"AL","Senate","Income","$50,000-$99,999",31,60,"Tuberville",2020
"117",117,"AL","Senate","Income","$100,000-$199,999",25,38,"Jones",2020
"118",118,"AL","Senate","Income","$100,000-$199,999",25,62,"Tuberville",2020
"119",119,"AL","Senate","Income","$200,000 or more",7,-1,"Jones",2020
"120",120,"AL","Senate","Income","$200,000 or more",7,-1,"Tuberville",2020
"121",121,"AZ","President","Region","Maricopa County",61,50,"Biden",2020
"122",122,"AZ","President","Region","Maricopa County",61,48,"Trump",2020
"123",123,"AZ","President","Region","Pima County",15,59,"Biden",2020
"124",124,"AZ","President","Region","Pima County",15,40,"Trump",2020
"125",125,"AZ","President","Region","Rest of state",24,41,"Biden",2020
"126",126,"AZ","President","Region","Rest of state",24,57,"Trump",2020
"127",127,"AZ","President","Age","18-24",11,-1,"Biden",2020
"128",128,"AZ","President","Age","18-24",11,-1,"Trump",2020
"129",129,"AZ","President","Age","25-29",5,-1,"Biden",2020
"130",130,"AZ","President","Age","25-29",5,-1,"Trump",2020
"131",131,"AZ","President","Age","30-39",13,51,"Biden",2020
"132",132,"AZ","President","Age","30-39",13,46,"Trump",2020
"133",133,"AZ","President","Age","40-49",14,40,"Biden",2020
"134",134,"AZ","President","Age","40-49",14,58,"Trump",2020
"135",135,"AZ","President","Age","50-64",26,45,"Biden",2020
"136",136,"AZ","President","Age","50-64",26,55,"Trump",2020
"137",137,"AZ","President","Age","65 or older",31,49,"Biden",2020
"138",138,"AZ","President","Age","65 or older",31,50,"Trump",2020
"139",139,"AZ","President","Race","White",74,46,"Biden",2020
"140",140,"AZ","President","Race","White",74,52,"Trump",2020
"141",141,"AZ","President","Race","Black",2,-1,"Biden",2020
"142",142,"AZ","President","Race","Black",2,-1,"Trump",2020
"143",143,"AZ","President","Race","Latino",19,61,"Biden",2020
"144",144,"AZ","President","Race","Latino",19,37,"Trump",2020
"145",145,"AZ","President","Race","Asian",2,-1,"Biden",2020
"146",146,"AZ","President","Race","Asian",2,-1,"Trump",2020
"147",147,"AZ","President","Race","Other racial/ethnic groups",4,-1,"Biden",2020
"148",148,"AZ","President","Race","Other racial/ethnic groups",4,-1,"Trump",2020
"149",149,"AZ","President","Gender","Male",48,48,"Biden",2020
"150",150,"AZ","President","Gender","Male",48,50,"Trump",2020
"151",151,"AZ","President","Gender","Female",52,51,"Biden",2020
"152",152,"AZ","President","Gender","Female",52,48,"Trump",2020
"153",153,"AZ","President","Area type","Urban",46,56,"Biden",2020
"154",154,"AZ","President","Area type","Urban",46,42,"Trump",2020
"155",155,"AZ","President","Area type","Suburban",46,45,"Biden",2020
"156",156,"AZ","President","Area type","Suburban",46,55,"Trump",2020
"157",157,"AZ","President","Area type","Rural",9,41,"Biden",2020
"158",158,"AZ","President","Area type","Rural",9,55,"Trump",2020
"159",159,"AZ","President","Education","Never attended college",16,49,"Biden",2020
"160",160,"AZ","President","Education","Never attended college",16,51,"Trump",2020
"161",161,"AZ","President","Education","Some college",28,46,"Biden",2020
"162",162,"AZ","President","Education","Some college",28,51,"Trump",2020
"163",163,"AZ","President","Education","Associate's degree",14,46,"Biden",2020
"164",164,"AZ","President","Education","Associate's degree",14,52,"Trump",2020
"165",165,"AZ","President","Education","Bachelor's degree",25,49,"Biden",2020
"166",166,"AZ","President","Education","Bachelor's degree",25,50,"Trump",2020
"167",167,"AZ","President","Education","Advanced degree",16,60,"Biden",2020
"168",168,"AZ","President","Education","Advanced degree",16,40,"Trump",2020
"169",169,"AZ","Senate","Region","Maricopa County",61,53,"Kelly",2020
"170",170,"AZ","Senate","Region","Maricopa County",61,47,"McSally",2020
"171",171,"AZ","Senate","Region","Pima County",15,59,"Kelly",2020
"172",172,"AZ","Senate","Region","Pima County",15,41,"McSally",2020
"173",173,"AZ","Senate","Region","Rest of state",24,42,"Kelly",2020
"174",174,"AZ","Senate","Region","Rest of state",24,58,"McSally",2020
"175",175,"AZ","Senate","Age","18-24",11,-1,"Kelly",2020
"176",176,"AZ","Senate","Age","18-24",11,-1,"McSally",2020
"177",177,"AZ","Senate","Age","25-29",5,-1,"Kelly",2020
"178",178,"AZ","Senate","Age","25-29",5,-1,"McSally",2020
"179",179,"AZ","Senate","Age","30-39",13,53,"Kelly",2020
"180",180,"AZ","Senate","Age","30-39",13,47,"McSally",2020
"181",181,"AZ","Senate","Age","40-49",14,42,"Kelly",2020
"182",182,"AZ","Senate","Age","40-49",14,58,"McSally",2020
"183",183,"AZ","Senate","Age","50-64",26,47,"Kelly",2020
"184",184,"AZ","Senate","Age","50-64",26,53,"McSally",2020
"185",185,"AZ","Senate","Age","65 or older",32,50,"Kelly",2020
"186",186,"AZ","Senate","Age","65 or older",32,50,"McSally",2020
"187",187,"AZ","Senate","Race","White",74,47,"Kelly",2020
"188",188,"AZ","Senate","Race","White",74,53,"McSally",2020
"189",189,"AZ","Senate","Race","Black",2,-1,"Kelly",2020
"190",190,"AZ","Senate","Race","Black",2,-1,"McSally",2020
"191",191,"AZ","Senate","Race","Latino",19,65,"Kelly",2020
"192",192,"AZ","Senate","Race","Latino",19,35,"McSally",2020
"193",193,"AZ","Senate","Race","Asian",2,-1,"Kelly",2020
"194",194,"AZ","Senate","Race","Asian",2,-1,"McSally",2020
"195",195,"AZ","Senate","Race","Other racial/ethnic groups",4,-1,"Kelly",2020
"196",196,"AZ","Senate","Race","Other racial/ethnic groups",4,-1,"McSally",2020
"197",197,"AZ","Senate","Gender","Male",48,50,"Kelly",2020
"198",198,"AZ","Senate","Gender","Male",48,50,"McSally",2020
"199",199,"AZ","Senate","Gender","Female",52,52,"Kelly",2020
"200",200,"AZ","Senate","Gender","Female",52,48,"McSally",2020
"201",201,"AZ","Senate","Area type","Urban",46,57,"Kelly",2020
"202",202,"AZ","Senate","Area type","Urban",46,43,"McSally",2020
"203",203,"AZ","Senate","Area type","Suburban",46,47,"Kelly",2020
"204",204,"AZ","Senate","Area type","Suburban",46,53,"McSally",2020
"205",205,"AZ","Senate","Area type","Rural",9,44,"Kelly",2020
"206",206,"AZ","Senate","Area type","Rural",9,56,"McSally",2020
"207",207,"AZ","Senate","Education","Never attended college",16,50,"Kelly",2020
"208",208,"AZ","Senate","Education","Never attended college",16,50,"McSally",2020
"209",209,"AZ","Senate","Education","Some college",28,50,"Kelly",2020
"210",210,"AZ","Senate","Education","Some college",28,50,"McSally",2020
"211",211,"AZ","Senate","Education","Associate's degree",15,44,"Kelly",2020
"212",212,"AZ","Senate","Education","Associate's degree",15,56,"McSally",2020
"213",213,"AZ","Senate","Education","Bachelor's degree",25,50,"Kelly",2020
"214",214,"AZ","Senate","Education","Bachelor's degree",25,50,"McSally",2020
"215",215,"AZ","Senate","Education","Advanced degree",16,62,"Kelly",2020
"216",216,"AZ","Senate","Education","Advanced degree",16,38,"McSally",2020
"217",217,"CA","President","Region","Coastal",10,65,"Biden",2020
"218",218,"CA","President","Region","Coastal",10,34,"Trump",2020
"219",219,"CA","President","Region","Inland",30,52,"Biden",2020
"220",220,"CA","President","Region","Inland",30,45,"Trump",2020
"221",221,"CA","President","Region","Bay Area",18,75,"Biden",2020
"222",222,"CA","President","Region","Bay Area",18,23,"Trump",2020
"223",223,"CA","President","Region","LA County",24,71,"Biden",2020
"224",224,"CA","President","Region","LA County",24,27,"Trump",2020
"225",225,"CA","President","Region","Southern Coast",18,58,"Biden",2020
"226",226,"CA","President","Region","Southern Coast",18,39,"Trump",2020
"227",227,"CA","President","Age","18-24",9,73,"Biden",2020
"228",228,"CA","President","Age","18-24",9,27,"Trump",2020
"229",229,"CA","President","Age","25-29",5,78,"Biden",2020
"230",230,"CA","President","Age","25-29",5,21,"Trump",2020
"231",231,"CA","President","Age","30-39",20,63,"Biden",2020
"232",232,"CA","President","Age","30-39",20,32,"Trump",2020
"233",233,"CA","President","Age","40-49",17,58,"Biden",2020
"234",234,"CA","President","Age","40-49",17,41,"Trump",2020
"235",235,"CA","President","Age","50-64",31,62,"Biden",2020
"236",236,"CA","President","Age","50-64",31,36,"Trump",2020
"237",237,"CA","President","Age","65 or older",19,61,"Biden",2020
"238",238,"CA","President","Age","65 or older",19,37,"Trump",2020
"239",239,"CA","President","Race","White",49,51,"Biden",2020
"240",240,"CA","President","Race","White",49,47,"Trump",2020
"241",241,"CA","President","Race","Black",9,82,"Biden",2020
"242",242,"CA","President","Race","Black",9,15,"Trump",2020
"243",243,"CA","President","Race","Latino",31,75,"Biden",2020
"244",244,"CA","President","Race","Latino",31,23,"Trump",2020
"245",245,"CA","President","Race","Asian",6,76,"Biden",2020
"246",246,"CA","President","Race","Asian",6,22,"Trump",2020
"247",247,"CA","President","Race","Other racial/ethnic groups",5,59,"Biden",2020
"248",248,"CA","President","Race","Other racial/ethnic groups",5,35,"Trump",2020
"249",249,"CA","President","Gender","Male",47,63,"Biden",2020
"250",250,"CA","President","Gender","Male",47,34,"Trump",2020
"251",251,"CA","President","Gender","Female",53,63,"Biden",2020
"252",252,"CA","President","Gender","Female",53,35,"Trump",2020
"253",253,"CA","President","Area type","Urban",43,68,"Biden",2020
"254",254,"CA","President","Area type","Urban",43,30,"Trump",2020
"255",255,"CA","President","Area type","Suburban",52,60,"Biden",2020
"256",256,"CA","President","Area type","Suburban",52,37,"Trump",2020
"257",257,"CA","President","Area type","Rural",5,-1,"Biden",2020
"258",258,"CA","President","Area type","Rural",5,-1,"Trump",2020
"259",259,"CA","President","Education","Never attended college",14,54,"Biden",2020
"260",260,"CA","President","Education","Never attended college",14,45,"Trump",2020
"261",261,"CA","President","Education","Some college",26,59,"Biden",2020
"262",262,"CA","President","Education","Some college",26,37,"Trump",2020
"263",263,"CA","President","Education","Associate's degree",16,63,"Biden",2020
"264",264,"CA","President","Education","Associate's degree",16,36,"Trump",2020
"265",265,"CA","President","Education","Bachelor's degree",29,65,"Biden",2020
"266",266,"CA","President","Education","Bachelor's degree",29,34,"Trump",2020
"267",267,"CA","President","Education","Advanced degree",15,74,"Biden",2020
"268",268,"CA","President","Education","Advanced degree",15,24,"Trump",2020
"269",269,"CA","President","Income","Less than $30,000",16,-1,"Biden",2020
"270",270,"CA","President","Income","Less than $30,000",16,-1,"Trump",2020
"271",271,"CA","President","Income","$30,000-$49,999",19,-1,"Biden",2020
"272",272,"CA","President","Income","$30,000-$49,999",19,-1,"Trump",2020
"273",273,"CA","President","Income","$50,000-$99,999",36,61,"Biden",2020
"274",274,"CA","President","Income","$50,000-$99,999",36,37,"Trump",2020
"275",275,"CA","President","Income","$100,000-$199,999",19,64,"Biden",2020
"276",276,"CA","President","Income","$100,000-$199,999",19,35,"Trump",2020
"277",277,"CA","President","Income","$200,000 or more",10,-1,"Biden",2020
"278",278,"CA","President","Income","$200,000 or more",10,-1,"Trump",2020
"279",279,"CO","President","Region","East",18,41,"Biden",2020
"280",280,"CO","President","Region","East",18,56,"Trump",2020
"281",281,"CO","President","Region","Denver/Eastern Suburbs",30,67,"Biden",2020
"282",282,"CO","President","Region","Denver/Eastern Suburbs",30,30,"Trump",2020
"283",283,"CO","President","Region","Northern Suburbs",20,59,"Biden",2020
"284",284,"CO","President","Region","Northern Suburbs",20,38,"Trump",2020
"285",285,"CO","President","Region","Southern Suburbs",19,53,"Biden",2020
"286",286,"CO","President","Region","Southern Suburbs",19,44,"Trump",2020
"287",287,"CO","President","Region","Colorado Rockies",13,46,"Biden",2020
"288",288,"CO","President","Region","Colorado Rockies",13,52,"Trump",2020
"289",289,"CO","President","Age","18-24",9,-1,"Biden",2020
"290",290,"CO","President","Age","18-24",9,-1,"Trump",2020
"291",291,"CO","President","Age","25-29",7,-1,"Biden",2020
"292",292,"CO","President","Age","25-29",7,-1,"Trump",2020
"293",293,"CO","President","Age","30-39",17,55,"Biden",2020
"294",294,"CO","President","Age","30-39",17,41,"Trump",2020
"295",295,"CO","President","Age","40-49",16,52,"Biden",2020
"296",296,"CO","President","Age","40-49",16,43,"Trump",2020
"297",297,"CO","President","Age","50-64",26,49,"Biden",2020
"298",298,"CO","President","Age","50-64",26,50,"Trump",2020
"299",299,"CO","President","Age","65 or older",25,57,"Biden",2020
"300",300,"CO","President","Age","65 or older",25,42,"Trump",2020
"301",301,"CO","President","Race","White",79,57,"Biden",2020
"302",302,"CO","President","Race","White",79,41,"Trump",2020
"303",303,"CO","President","Race","Black",3,-1,"Biden",2020
"304",304,"CO","President","Race","Black",3,-1,"Trump",2020
"305",305,"CO","President","Race","Latino",12,58,"Biden",2020
"306",306,"CO","President","Race","Latino",12,38,"Trump",2020
"307",307,"CO","President","Race","Asian",2,-1,"Biden",2020
"308",308,"CO","President","Race","Asian",2,-1,"Trump",2020
"309",309,"CO","President","Race","Other racial/ethnic groups",4,-1,"Biden",2020
"310",310,"CO","President","Race","Other racial/ethnic groups",4,-1,"Trump",2020
"311",311,"CO","President","Gender","Male",46,49,"Biden",2020
"312",312,"CO","President","Gender","Male",46,47,"Trump",2020
"313",313,"CO","President","Gender","Female",54,61,"Biden",2020
"314",314,"CO","President","Gender","Female",54,37,"Trump",2020
"315",315,"CO","President","Area type","Urban",38,63,"Biden",2020
"316",316,"CO","President","Area type","Urban",38,35,"Trump",2020
"317",317,"CO","President","Area type","Suburban",48,54,"Biden",2020
"318",318,"CO","President","Area type","Suburban",48,43,"Trump",2020
"319",319,"CO","President","Area type","Rural",14,40,"Biden",2020
"320",320,"CO","President","Area type","Rural",14,57,"Trump",2020
"321",321,"CO","President","Education","Never attended college",14,43,"Biden",2020
"322",322,"CO","President","Education","Never attended college",14,55,"Trump",2020
"323",323,"CO","President","Education","Some college",24,53,"Biden",2020
"324",324,"CO","President","Education","Some college",24,45,"Trump",2020
"325",325,"CO","President","Education","Associate's degree",18,48,"Biden",2020
"326",326,"CO","President","Education","Associate's degree",18,49,"Trump",2020
"327",327,"CO","President","Education","Bachelor's degree",25,57,"Biden",2020
"328",328,"CO","President","Education","Bachelor's degree",25,39,"Trump",2020
"329",329,"CO","President","Education","Advanced degree",19,73,"Biden",2020
"330",330,"CO","President","Education","Advanced degree",19,25,"Trump",2020
"331",331,"CO","Senate","Region","East",18,40,"Hickenlooper",2020
"332",332,"CO","Senate","Region","East",18,58,"Gardner",2020
"333",333,"CO","Senate","Region","Denver/Eastern Suburbs",30,65,"Hickenlooper",2020
"334",334,"CO","Senate","Region","Denver/Eastern Suburbs",30,32,"Gardner",2020
"335",335,"CO","Senate","Region","Northern Suburbs",20,58,"Hickenlooper",2020
"336",336,"CO","Senate","Region","Northern Suburbs",20,40,"Gardner",2020
"337",337,"CO","Senate","Region","Southern Suburbs",19,51,"Hickenlooper",2020
"338",338,"CO","Senate","Region","Southern Suburbs",19,46,"Gardner",2020
"339",339,"CO","Senate","Region","Colorado Rockies",13,42,"Hickenlooper",2020
"340",340,"CO","Senate","Region","Colorado Rockies",13,56,"Gardner",2020
"341",341,"CO","Senate","Age","18-24",9,-1,"Hickenlooper",2020
"342",342,"CO","Senate","Age","18-24",9,-1,"Gardner",2020
"343",343,"CO","Senate","Age","25-29",7,-1,"Hickenlooper",2020
"344",344,"CO","Senate","Age","25-29",7,-1,"Gardner",2020
"345",345,"CO","Senate","Age","30-39",17,52,"Hickenlooper",2020
"346",346,"CO","Senate","Age","30-39",17,45,"Gardner",2020
"347",347,"CO","Senate","Age","40-49",16,51,"Hickenlooper",2020
"348",348,"CO","Senate","Age","40-49",16,44,"Gardner",2020
"349",349,"CO","Senate","Age","50-64",26,48,"Hickenlooper",2020
"350",350,"CO","Senate","Age","50-64",26,51,"Gardner",2020
"351",351,"CO","Senate","Age","65 or older",25,57,"Hickenlooper",2020
"352",352,"CO","Senate","Age","65 or older",25,43,"Gardner",2020
"353",353,"CO","Senate","Race","White",79,56,"Hickenlooper",2020
"354",354,"CO","Senate","Race","White",79,42,"Gardner",2020
"355",355,"CO","Senate","Race","Black",3,-1,"Hickenlooper",2020
"356",356,"CO","Senate","Race","Black",3,-1,"Gardner",2020
"357",357,"CO","Senate","Race","Latino",12,50,"Hickenlooper",2020
"358",358,"CO","Senate","Race","Latino",12,46,"Gardner",2020
"359",359,"CO","Senate","Race","Asian",2,-1,"Hickenlooper",2020
"360",360,"CO","Senate","Race","Asian",2,-1,"Gardner",2020
"361",361,"CO","Senate","Race","Other racial/ethnic groups",4,-1,"Hickenlooper",2020
"362",362,"CO","Senate","Race","Other racial/ethnic groups",4,-1,"Gardner",2020
"363",363,"CO","Senate","Gender","Male",46,48,"Hickenlooper",2020
"364",364,"CO","Senate","Gender","Male",46,49,"Gardner",2020
"365",365,"CO","Senate","Gender","Female",54,58,"Hickenlooper",2020
"366",366,"CO","Senate","Gender","Female",54,40,"Gardner",2020
"367",367,"CO","Senate","Area type","Urban",38,63,"Hickenlooper",2020
"368",368,"CO","Senate","Area type","Urban",38,35,"Gardner",2020
"369",369,"CO","Senate","Area type","Suburban",48,52,"Hickenlooper",2020
"370",370,"CO","Senate","Area type","Suburban",48,46,"Gardner",2020
"371",371,"CO","Senate","Area type","Rural",14,36,"Hickenlooper",2020
"372",372,"CO","Senate","Area type","Rural",14,61,"Gardner",2020
"373",373,"CO","Senate","Education","Never attended college",14,41,"Hickenlooper",2020
"374",374,"CO","Senate","Education","Never attended college",14,59,"Gardner",2020
"375",375,"CO","Senate","Education","Some college",24,53,"Hickenlooper",2020
"376",376,"CO","Senate","Education","Some college",24,46,"Gardner",2020
"377",377,"CO","Senate","Education","Associate's degree",18,44,"Hickenlooper",2020
"378",378,"CO","Senate","Education","Associate's degree",18,53,"Gardner",2020
"379",379,"CO","Senate","Education","Bachelor's degree",25,55,"Hickenlooper",2020
"380",380,"CO","Senate","Education","Bachelor's degree",25,41,"Gardner",2020
"381",381,"CO","Senate","Education","Advanced degree",19,70,"Hickenlooper",2020
"382",382,"CO","Senate","Education","Advanced degree",19,27,"Gardner",2020
"383",383,"FL","President","Region","North/Panhandle",18,41,"Biden",2020
"384",384,"FL","President","Region","North/Panhandle",18,58,"Trump",2020
"385",385,"FL","President","Region","Orlando/Central Atlantic",19,51,"Biden",2020
"386",386,"FL","President","Region","Orlando/Central Atlantic",19,48,"Trump",2020
"387",387,"FL","President","Region","Tampa Bay Area",16,48,"Biden",2020
"388",388,"FL","President","Region","Tampa Bay Area",16,51,"Trump",2020
"389",389,"FL","President","Region","Gulf Coast/Mid-Florida",20,39,"Biden",2020
"390",390,"FL","President","Region","Gulf Coast/Mid-Florida",20,60,"Trump",2020
"391",391,"FL","President","Region","Miami/Gold Coast",27,58,"Biden",2020
"392",392,"FL","President","Region","Miami/Gold Coast",27,41,"Trump",2020
"393",393,"FL","President","Age","18-24",7,57,"Biden",2020
"394",394,"FL","President","Age","18-24",7,42,"Trump",2020
"395",395,"FL","President","Age","25-29",6,64,"Biden",2020
"396",396,"FL","President","Age","25-29",6,35,"Trump",2020
"397",397,"FL","President","Age","30-39",13,48,"Biden",2020
"398",398,"FL","President","Age","30-39",13,50,"Trump",2020
"399",399,"FL","President","Age","40-49",13,48,"Biden",2020
"400",400,"FL","President","Age","40-49",13,51,"Trump",2020
"401",401,"FL","President","Age","50-64",28,45,"Biden",2020
"402",402,"FL","President","Age","50-64",28,54,"Trump",2020
"403",403,"FL","President","Age","65 or older",32,45,"Biden",2020
"404",404,"FL","President","Age","65 or older",32,55,"Trump",2020
"405",405,"FL","President","Race","White",62,37,"Biden",2020
"406",406,"FL","President","Race","White",62,62,"Trump",2020
"407",407,"FL","President","Race","Black",14,89,"Biden",2020
"408",408,"FL","President","Race","Black",14,10,"Trump",2020
"409",409,"FL","President","Race","Latino",19,53,"Biden",2020
"410",410,"FL","President","Race","Latino",19,46,"Trump",2020
"411",411,"FL","President","Race","Asian",1,-1,"Biden",2020
"412",412,"FL","President","Race","Asian",1,-1,"Trump",2020
"413",413,"FL","President","Race","Other racial/ethnic groups",3,55,"Biden",2020
"414",414,"FL","President","Race","Other racial/ethnic groups",3,44,"Trump",2020
"415",415,"FL","President","Gender","Male",45,45,"Biden",2020
"416",416,"FL","President","Gender","Male",45,54,"Trump",2020
"417",417,"FL","President","Gender","Female",55,51,"Biden",2020
