"","year","state","office_type","question","answer","demographic_pct","answer_pct","lastName"
"122",2020,"AZ","President","Race","Voters of color",26,39,"Trump"
"123",2020,"AZ","President","Education","Never attended college",16,49,"Biden"
"124",2020,"AZ","President","Education","Never attended college",16,51,"Trump"
"125",2020,"AZ","President","Education","Some college",28,46,"Biden"
"126",2020,"AZ","President","Education","Some college",28,51,"Trump"
"127",2020,"AZ","President","Education","Associate's degree",14,46,"Biden"
"128",2020,"AZ","President","Education","Associate's degree",14,52,"Trump"
"129",2020,"AZ","President","Education","Bachelor's degree",25,49,"Biden"
"130",2020,"AZ","President","Education","Bachelor's degree",25,50,"Trump"
"131",2020,"AZ","President","Education","Advanced degree",16,60,"Biden"
"132",2020,"AZ","President","Education","Advanced degree",16,40,"Trump"
"133",2020,"AZ","Senate","Age","18-29",16,67,"Kelly"
"134",2020,"AZ","Senate","Age","18-29",16,33,"McSally"
"135",2020,"AZ","Senate","Age","30-44",20,49,"Kelly"
"136",2020,"AZ","Senate","Age","30-44",20,51,"McSally"
"137",2020,"AZ","Senate","Age","45-64",32,46,"Kelly"
"138",2020,"AZ","Senate","Age","45-64",32,54,"McSally"
"139",2020,"AZ","Senate","Age","65 or older",32,50,"Kelly"
"140",2020,"AZ","Senate","Age","65 or older",32,50,"McSally"
"141",2020,"AZ","Senate","Gender","Male",48,50,"Kelly"
"142",2020,"AZ","Senate","Gender","Male",48,50,"McSally"
"143",2020,"AZ","Senate","Gender","Female",52,52,"Kelly"
"144",2020,"AZ","Senate","Gender","Female",52,48,"McSally"
"145",2020,"AZ","Senate","Area type","Urban",46,57,"Kelly"
"146",2020,"AZ","Senate","Area type","Urban",46,43,"McSally"
"147",2020,"AZ","Senate","Area type","Suburban",46,47,"Kelly"
"148",2020,"AZ","Senate","Area type","Suburban",46,53,"McSally"
"149",2020,"AZ","Senate","Area type","Rural",9,44,"Kelly"
"150",2020,"AZ","Senate","Area type","Rural",9,56,"McSally"
"151",2020,"AZ","Senate","Education by race","White voters, college degree",33,54,"Kelly"
"152",2020,"AZ","Senate","Education by race","White voters, college degree",33,46,"McSally"
"153",2020,"AZ","Senate","Education by race","White voters, no degree",42,42,"Kelly"
"154",2020,"AZ","Senate","Education by race","White voters, no degree",42,58,"McSally"
"155",2020,"AZ","Senate","Education by race","Voters of color, college degree",8,62,"Kelly"
"156",2020,"AZ","Senate","Education by race","Voters of color, college degree",8,38,"McSally"
"157",2020,"AZ","Senate","Education by race","Voters of color, no degree",17,65,"Kelly"
"158",2020,"AZ","Senate","Education by race","Voters of color, no degree",17,35,"McSally"
"159",2020,"AZ","Senate","Race","White voters",74,47,"Kelly"
"160",2020,"AZ","Senate","Race","White voters",74,53,"McSally"
"161",2020,"AZ","Senate","Race","Voters of color",26,64,"Kelly"
"162",2020,"AZ","Senate","Race","Voters of color",26,36,"McSally"
"163",2020,"AZ","Senate","Education","Never attended college",16,50,"Kelly"
"164",2020,"AZ","Senate","Education","Never attended college",16,50,"McSally"
"165",2020,"AZ","Senate","Education","Some college",28,50,"Kelly"
"166",2020,"AZ","Senate","Education","Some college",28,50,"McSally"
"167",2020,"AZ","Senate","Education","Associate's degree",15,44,"Kelly"
"168",2020,"AZ","Senate","Education","Associate's degree",15,56,"McSally"
"169",2020,"AZ","Senate","Education","Bachelor's degree",25,50,"Kelly"
"170",2020,"AZ","Senate","Education","Bachelor's degree",25,50,"McSally"
"171",2020,"AZ","Senate","Education","Advanced degree",16,62,"Kelly"
"172",2020,"AZ","Senate","Education","Advanced degree",16,38,"McSally"
"173",2020,"CA","President","Age","18-24",9,73,"Biden"
"174",2020,"CA","President","Age","18-24",9,27,"Trump"
"175",2020,"CA","President","Age","25-29",5,78,"Biden"
"176",2020,"CA","President","Age","25-29",5,21,"Trump"
"177",2020,"CA","President","Age","30-39",20,63,"Biden"
"178",2020,"CA","President","Age","30-39",20,32,"Trump"
"179",2020,"CA","President","Age","40-49",17,58,"Biden"
"180",2020,"CA","President","Age","40-49",17,41,"Trump"
"181",2020,"CA","President","Age","50-64",31,62,"Biden"
"182",2020,"CA","President","Age","50-64",31,36,"Trump"
"183",2020,"CA","President","Age","65 or older",19,61,"Biden"
"184",2020,"CA","President","Age","65 or older",19,37,"Trump"
"185",2020,"CA","President","Race","White",49,51,"Biden"
"186",2020,"CA","President","Race","White",49,47,"Trump"
"187",2020,"CA","President","Race","Black",9,82,"Biden"
"188",2020,"CA","President","Race","Black",9,15,"Trump"
"189",2020,"CA","President","Race","Latino",31,75,"Biden"
"190",2020,"CA","President","Race","Latino",31,23,"Trump"
"191",2020,"CA","President","Race","Asian",6,76,"Biden"
"192",2020,"CA","President","Race","Asian",6,22,"Trump"
"193",2020,"CA","President","Race","Other racial/ethnic groups",5,59,"Biden"
"194",2020,"CA","President","Race","Other racial/ethnic groups",5,35,"Trump"
"195",2020,"CA","President","Gender","Male",47,63,"Biden"
"196",2020,"CA","President","Gender","Male",47,34,"Trump"
"197",2020,"CA","President","Gender","Female",53,63,"Biden"
"198",2020,"CA","President","Gender","Female",53,35,"Trump"
"199",2020,"CA","President","Income","Less than $50,000",35,63,"Biden"
"200",2020,"CA","President","Income","Less than $50,000",35,36,"Trump"
"201",2020,"CA","President","Income","$50,000 to $99,999",36,61,"Biden"
"202",2020,"CA","President","Income","$50,000 to $99,999",36,37,"Trump"
"203",2020,"CA","President","Income","$100,000 or more",29,65,"Biden"
"204",2020,"CA","President","Income","$100,000 or more",29,34,"Trump"
"205",2020,"CA","President","Education by race","White voters, college degree",26,62,"Biden"
"206",2020,"CA","President","Education by race","White voters, college degree",26,36,"Trump"
"207",2020,"CA","President","Education by race","White voters, no degree",24,39,"Biden"
"208",2020,"CA","President","Education by race","White voters, no degree",24,59,"Trump"
"209",2020,"CA","President","Education by race","Voters of color, college degree",18,78,"Biden"
"210",2020,"CA","President","Education by race","Voters of color, college degree",18,21,"Trump"
"211",2020,"CA","President","Education by race","Voters of color, no degree",32,73,"Biden"
"212",2020,"CA","President","Education by race","Voters of color, no degree",32,24,"Trump"
"213",2020,"CA","President","Education","Never attended college",14,54,"Biden"
"214",2020,"CA","President","Education","Never attended college",14,45,"Trump"
"215",2020,"CA","President","Education","Some college",26,59,"Biden"
"216",2020,"CA","President","Education","Some college",26,37,"Trump"
"217",2020,"CA","President","Education","Associate's degree",16,63,"Biden"
"218",2020,"CA","President","Education","Associate's degree",16,36,"Trump"
"219",2020,"CA","President","Education","Bachelor's degree",29,65,"Biden"
"220",2020,"CA","President","Education","Bachelor's degree",29,34,"Trump"
"221",2020,"CA","President","Education","Advanced degree",15,74,"Biden"
"222",2020,"CA","President","Education","Advanced degree",15,24,"Trump"
"223",2020,"CO","President","Age","18-29",16,70,"Biden"
"224",2020,"CO","President","Age","18-29",16,26,"Trump"
"225",2020,"CO","President","Age","30-44",25,55,"Biden"
"226",2020,"CO","President","Age","30-44",25,40,"Trump"
"227",2020,"CO","President","Age","45-64",35,48,"Biden"
"228",2020,"CO","President","Age","45-64",35,49,"Trump"
"229",2020,"CO","President","Age","65 or older",25,57,"Biden"
"230",2020,"CO","President","Age","65 or older",25,42,"Trump"
"231",2020,"CO","President","Gender","Male",46,49,"Biden"
"232",2020,"CO","President","Gender","Male",46,47,"Trump"
"233",2020,"CO","President","Gender","Female",54,61,"Biden"
"234",2020,"CO","President","Gender","Female",54,37,"Trump"
"235",2020,"CO","President","Area type","Urban",38,63,"Biden"
"236",2020,"CO","President","Area type","Urban",38,35,"Trump"
"237",2020,"CO","President","Area type","Suburban",48,54,"Biden"
"238",2020,"CO","President","Area type","Suburban",48,43,"Trump"
"239",2020,"CO","President","Area type","Rural",14,40,"Biden"
"240",2020,"CO","President","Area type","Rural",14,57,"Trump"
"241",2020,"CO","President","Education by race","White voters, college degree",38,67,"Biden"
"242",2020,"CO","President","Education by race","White voters, college degree",38,30,"Trump"
"243",2020,"CO","President","Education by race","White voters, no degree",41,48,"Biden"
"244",2020,"CO","President","Education by race","White voters, no degree",41,51,"Trump"
"245",2020,"CO","President","Education by race","Voters of color, college degree",6,59,"Biden"
"246",2020,"CO","President","Education by race","Voters of color, college degree",6,40,"Trump"
"247",2020,"CO","President","Education by race","Voters of color, no degree",15,52,"Biden"
"248",2020,"CO","President","Education by race","Voters of color, no degree",15,43,"Trump"
"249",2020,"CO","President","Race","White voters",79,57,"Biden"
"250",2020,"CO","President","Race","White voters",79,41,"Trump"
"251",2020,"CO","President","Race","Voters of color",21,55,"Biden"
"252",2020,"CO","President","Race","Voters of color",21,42,"Trump"
"253",2020,"CO","President","Education","Never attended college",14,43,"Biden"
"254",2020,"CO","President","Education","Never attended college",14,55,"Trump"
"255",2020,"CO","President","Education","Some college",24,53,"Biden"
"256",2020,"CO","President","Education","Some college",24,45,"Trump"
"257",2020,"CO","President","Education","Associate's degree",18,48,"Biden"
"258",2020,"CO","President","Education","Associate's degree",18,49,"Trump"
"259",2020,"CO","President","Education","Bachelor's degree",25,57,"Biden"
"260",2020,"CO","President","Education","Bachelor's degree",25,39,"Trump"
"261",2020,"CO","President","Education","Advanced degree",19,73,"Biden"
"262",2020,"CO","President","Education","Advanced degree",19,25,"Trump"
"263",2020,"CO","Senate","Age","18-29",16,64,"Hickenlooper"
"264",2020,"CO","Senate","Age","18-29",16,33,"Gardner"
"265",2020,"CO","Senate","Age","30-44",25,53,"Hickenlooper"
"266",2020,"CO","Senate","Age","30-44",25,43,"Gardner"
"267",2020,"CO","Senate","Age","45-64",34,48,"Hickenlooper"
"268",2020,"CO","Senate","Age","45-64",34,50,"Gardner"
"269",2020,"CO","Senate","Age","65 or older",25,57,"Hickenlooper"
"270",2020,"CO","Senate","Age","65 or older",25,43,"Gardner"
"271",2020,"CO","Senate","Gender","Male",46,48,"Hickenlooper"
"272",2020,"CO","Senate","Gender","Male",46,49,"Gardner"
"273",2020,"CO","Senate","Gender","Female",54,58,"Hickenlooper"
"274",2020,"CO","Senate","Gender","Female",54,40,"Gardner"
"275",2020,"CO","Senate","Area type","Urban",38,63,"Hickenlooper"
"276",2020,"CO","Senate","Area type","Urban",38,35,"Gardner"
"277",2020,"CO","Senate","Area type","Suburban",48,52,"Hickenlooper"
"278",2020,"CO","Senate","Area type","Suburban",48,46,"Gardner"
"279",2020,"CO","Senate","Area type","Rural",14,36,"Hickenlooper"
"280",2020,"CO","Senate","Area type","Rural",14,61,"Gardner"
"281",2020,"CO","Senate","Education by race","White voters, college degree",38,65,"Hickenlooper"
"282",2020,"CO","Senate","Education by race","White voters, college degree",38,32,"Gardner"
"283",2020,"CO","Senate","Education by race","White voters, no degree",41,48,"Hickenlooper"
"284",2020,"CO","Senate","Education by race","White voters, no degree",41,51,"Gardner"
"285",2020,"CO","Senate","Education by race","Voters of color, college degree",6,60,"Hickenlooper"
"286",2020,"CO","Senate","Education by race","Voters of color, college degree",6,37,"Gardner"
"287",2020,"CO","Senate","Education by race","Voters of color, no degree",15,47,"Hickenlooper"
"288",2020,"CO","Senate","Education by race","Voters of color, no degree",15,50,"Gardner"
"289",2020,"CO","Senate","Race","White voters",79,56,"Hickenlooper"
"290",2020,"CO","Senate","Race","White voters",79,42,"Gardner"
"291",2020,"CO","Senate","Race","Voters of color",21,50,"Hickenlooper"
"292",2020,"CO","Senate","Race","Voters of color",21,46,"Gardner"
"293",2020,"CO","Senate","Education","Never attended college",14,41,"Hickenlooper"
"294",2020,"CO","Senate","Education","Never attended college",14,59,"Gardner"
"295",2020,"CO","Senate","Education","Some college",24,53,"Hickenlooper"
"296",2020,"CO","Senate","Education","Some college",24,46,"Gardner"
"297",2020,"CO","Senate","Education","Associate's degree",18,44,"Hickenlooper"
"298",2020,"CO","Senate","Education","Associate's degree",18,53,"Gardner"
"299",2020,"CO","Senate","Education","Bachelor's degree",25,55,"Hickenlooper"
"300",2020,"CO","Senate","Education","Bachelor's degree",25,41,"Gardner"
"301",2020,"CO","Senate","Education","Advanced degree",19,70,"Hickenlooper"
"302",2020,"CO","Senate","Education","Advanced degree",19,27,"Gardner"
"303",2020,"FL","President","Age","18-24",7,57,"Biden"
"304",2020,"FL","President","Age","18-24",7,42,"Trump"
"305",2020,"FL","President","Age","25-29",6,64,"Biden"
"306",2020,"FL","President","Age","25-29",6,35,"Trump"
"307",2020,"FL","President","Age","30-39",13,48,"Biden"
"308",2020,"FL","President","Age","30-39",13,50,"Trump"
"309",2020,"FL","President","Age","40-49",13,48,"Biden"
"310",2020,"FL","President","Age","40-49",13,51,"Trump"
"311",2020,"FL","President","Age","50-64",28,45,"Biden"
"312",2020,"FL","President","Age","50-64",28,54,"Trump"
"313",2020,"FL","President","Age","65 or older",32,45,"Biden"
"314",2020,"FL","President","Age","65 or older",32,55,"Trump"
"315",2020,"FL","President","Gender","Male",45,45,"Biden"
"316",2020,"FL","President","Gender","Male",45,54,"Trump"
"317",2020,"FL","President","Gender","Female",55,51,"Biden"
"318",2020,"FL","President","Gender","Female",55,48,"Trump"
"319",2020,"FL","President","Area type","Urban",41,55,"Biden"
"320",2020,"FL","President","Area type","Urban",41,44,"Trump"
"321",2020,"FL","President","Area type","Suburban",50,44,"Biden"
"322",2020,"FL","President","Area type","Suburban",50,55,"Trump"
"323",2020,"FL","President","Area type","Rural",9,38,"Biden"
"324",2020,"FL","President","Area type","Rural",9,61,"Trump"
"325",2020,"FL","President","Education by race","White voters, college degree",24,43,"Biden"
"326",2020,"FL","President","Education by race","White voters, college degree",24,57,"Trump"
"327",2020,"FL","President","Education by race","White voters, no degree",39,34,"Biden"
"328",2020,"FL","President","Education by race","White voters, no degree",39,66,"Trump"
"329",2020,"FL","President","Education by race","Voters of color, college degree",12,66,"Biden"
"330",2020,"FL","President","Education by race","Voters of color, college degree",12,31,"Trump"
"331",2020,"FL","President","Education by race","Voters of color, no degree",25,67,"Biden"
"332",2020,"FL","President","Education by race","Voters of color, no degree",25,32,"Trump"
"333",2020,"FL","President","Race","White voters",62,37,"Biden"
"334",2020,"FL","President","Race","White voters",62,62,"Trump"
"335",2020,"FL","President","Race","Voters of color",38,67,"Biden"
"336",2020,"FL","President","Race","Voters of color",38,32,"Trump"
"337",2020,"FL","President","Education","Never attended college",19,44,"Biden"
"338",2020,"FL","President","Education","Never attended college",19,56,"Trump"
"339",2020,"FL","President","Education","Some college",25,50,"Biden"
"340",2020,"FL","President","Education","Some college",25,49,"Trump"
"341",2020,"FL","President","Education","Associate's degree",20,45,"Biden"
"342",2020,"FL","President","Education","Associate's degree",20,53,"Trump"
"343",2020,"FL","President","Education","Bachelor's degree",22,49,"Biden"
"344",2020,"FL","President","Education","Bachelor's degree",22,50,"Trump"
"345",2020,"FL","President","Education","Advanced degree",14,53,"Biden"
"346",2020,"FL","President","Education","Advanced degree",14,45,"Trump"
"347",2020,"GA","President","Age","18-24",12,56,"Biden"
"348",2020,"GA","President","Age","18-24",12,43,"Trump"
"349",2020,"GA","President","Age","25-29",8,56,"Biden"
"350",2020,"GA","President","Age","25-29",8,43,"Trump"
"351",2020,"GA","President","Age","30-39",17,53,"Biden"
"352",2020,"GA","President","Age","30-39",17,45,"Trump"
"353",2020,"GA","President","Age","40-49",18,50,"Biden"
"354",2020,"GA","President","Age","40-49",18,49,"Trump"
"355",2020,"GA","President","Age","50-64",27,47,"Biden"
"356",2020,"GA","President","Age","50-64",27,53,"Trump"
"357",2020,"GA","President","Age","65 or older",19,44,"Biden"
"358",2020,"GA","President","Age","65 or older",19,56,"Trump"
"359",2020,"GA","President","Gender","Male",44,43,"Biden"
"360",2020,"GA","President","Gender","Male",44,55,"Trump"
"361",2020,"GA","President","Gender","Female",56,54,"Biden"
"362",2020,"GA","President","Gender","Female",56,45,"Trump"
"363",2020,"GA","President","Area type","Urban",23,67,"Biden"
"364",2020,"GA","President","Area type","Urban",23,32,"Trump"
"365",2020,"GA","President","Area type","Suburban",62,48,"Biden"
"366",2020,"GA","President","Area type","Suburban",62,51,"Trump"
"367",2020,"GA","President","Area type","Rural",14,30,"Biden"
"368",2020,"GA","President","Area type","Rural",14,69,"Trump"
"369",2020,"GA","President","Education by race","White voters, college degree",26,44,"Biden"
"370",2020,"GA","President","Education by race","White voters, college degree",26,55,"Trump"
"371",2020,"GA","President","Education by race","White voters, no degree",35,20,"Biden"
"372",2020,"GA","President","Education by race","White voters, no degree",35,79,"Trump"
"373",2020,"GA","President","Education by race","Voters of color, college degree",14,83,"Biden"
"374",2020,"GA","President","Education by race","Voters of color, college degree",14,16,"Trump"
"375",2020,"GA","President","Education by race","Voters of color, no degree",25,80,"Biden"
"376",2020,"GA","President","Education by race","Voters of color, no degree",25,19,"Trump"
"377",2020,"GA","President","Race","White voters",61,30,"Biden"
"378",2020,"GA","President","Race","White voters",61,69,"Trump"
"379",2020,"GA","President","Race","Voters of color",39,81,"Biden"
"380",2020,"GA","President","Race","Voters of color",39,18,"Trump"
"381",2020,"GA","President","Education","Never attended college",16,35,"Biden"
"382",2020,"GA","President","Education","Never attended college",16,64,"Trump"
"383",2020,"GA","President","Education","Some college",26,49,"Biden"
"384",2020,"GA","President","Education","Some college",26,49,"Trump"
"385",2020,"GA","President","Education","Associate's degree",17,46,"Biden"
"386",2020,"GA","President","Education","Associate's degree",17,53,"Trump"
"387",2020,"GA","President","Education","Bachelor's degree",26,54,"Biden"
"388",2020,"GA","President","Education","Bachelor's degree",26,45,"Trump"
"389",2020,"GA","President","Education","Advanced degree",14,63,"Biden"
"390",2020,"GA","President","Education","Advanced degree",14,36,"Trump"
"391",2020,"GA","President","Income","Less than $30,000",13,59,"Biden"
"392",2020,"GA","President","Income","Less than $30,000",13,38,"Trump"
"393",2020,"GA","President","Income","$30,000-$49,999",19,53,"Biden"
"394",2020,"GA","President","Income","$30,000-$49,999",19,45,"Trump"
"395",2020,"GA","President","Income","$50,000-$99,999",36,46,"Biden"
"396",2020,"GA","President","Income","$50,000-$99,999",36,53,"Trump"
"397",2020,"GA","President","Income","$100,000-$199,999",23,50,"Biden"
"398",2020,"GA","President","Income","$100,000-$199,999",23,50,"Trump"
"399",2020,"GA","President","Income","$200,000 or more",8,63,"Biden"
"400",2020,"GA","President","Income","$200,000 or more",8,35,"Trump"
"401",2020,"GA","Senate","Age","18-24",12,51,"Ossoff"
"402",2020,"GA","Senate","Age","18-24",12,47,"Perdue"
"403",2020,"GA","Senate","Age","25-29",8,59,"Ossoff"
"404",2020,"GA","Senate","Age","25-29",8,37,"Perdue"
"405",2020,"GA","Senate","Age","30-39",17,53,"Ossoff"
"406",2020,"GA","Senate","Age","30-39",17,42,"Perdue"
"407",2020,"GA","Senate","Age","40-49",18,47,"Ossoff"
"408",2020,"GA","Senate","Age","40-49",18,51,"Perdue"
"409",2020,"GA","Senate","Age","50-64",27,45,"Ossoff"
"410",2020,"GA","Senate","Age","50-64",27,53,"Perdue"
"411",2020,"GA","Senate","Age","65 or older",19,42,"Ossoff"
"412",2020,"GA","Senate","Age","65 or older",19,58,"Perdue"
"413",2020,"GA","Senate","Gender","Male",44,43,"Ossoff"
"414",2020,"GA","Senate","Gender","Male",44,55,"Perdue"
"415",2020,"GA","Senate","Gender","Female",56,52,"Ossoff"
"416",2020,"GA","Senate","Gender","Female",56,46,"Perdue"
"417",2020,"GA","Senate","Area type","Urban",24,66,"Ossoff"
"418",2020,"GA","Senate","Area type","Urban",24,32,"Perdue"
"419",2020,"GA","Senate","Area type","Suburban",62,45,"Ossoff"
"420",2020,"GA","Senate","Area type","Suburban",62,52,"Perdue"
"421",2020,"GA","Senate","Area type","Rural",14,29,"Ossoff"
"422",2020,"GA","Senate","Area type","Rural",14,69,"Perdue"
"423",2020,"GA","Senate","Education by race","White voters, college degree",26,41,"Ossoff"
"424",2020,"GA","Senate","Education by race","White voters, college degree",26,56,"Perdue"
